Number simulations,Option price,Time to run (milli seconds)
500,13.039,18
5500,15.9151,166
10500,14.6093,319
15500,14.566,355
20500,14.3843,470
25500,14.6342,679
30500,14.9359,714
35500,14.9194,844
40500,14.5282,951
45500,14.5709,1074
50500,14.6398,1209
55500,14.5612,1437
60500,14.5529,1388
65500,14.7771,1495
70500,14.8304,1610
75500,14.6787,1724
80500,14.8985,1846
85500,14.7845,1957
90500,14.4963,2066
95500,14.9588,2187
100500,14.7156,2295
105500,14.642,2419
110500,14.6102,2535
115500,14.7915,2651
120500,14.7077,2764
125500,14.677,2884
130500,14.7956,2997
135500,14.7508,3113
140500,14.6776,3223
145500,14.6725,3338
150500,14.7817,3594
155500,14.7579,3584
160500,14.7416,3686
165500,14.742,3807
170500,14.654,3940
175500,14.8031,4032
180500,14.6844,4142
185500,14.7082,4253
190500,14.7336,4360
195500,14.6909,4476
200500,14.7247,4588
205500,14.7898,4700
210500,14.7369,4818
215500,14.7294,4933
220500,14.7373,5071
225500,14.6587,5184
230500,14.6078,5292
235500,14.7507,5409
240500,14.708,5514
245500,14.7165,5638
250500,14.6458,5754
255500,14.715,5867
260500,14.6424,5974
265500,14.7305,6091
270500,14.6962,6205
275500,14.7825,6318
280500,14.6922,6433
285500,14.7694,6557
290500,14.7639,6666
295500,14.7528,6780
300500,14.6636,6865
305500,14.6623,7012
310500,14.7115,7095
315500,14.8065,7210
320500,14.7204,7322
325500,14.6925,7436
330500,14.7288,7552
335500,14.6923,7668
340500,14.7877,7782
345500,14.6884,7897
350500,14.7884,8014
355500,14.7443,8146
360500,14.7118,8234
365500,14.7571,8471
370500,14.7419,8518
375500,14.7223,8612
380500,14.7147,8725
385500,14.7451,8841
390500,14.7886,8963
395500,14.6397,9042
400500,14.7528,9152
405500,14.742,9269
410500,14.7108,9377
415500,14.7994,9494
420500,14.7072,9618
425500,14.7085,9718
430500,14.7514,9843
435500,14.7282,9949
440500,14.7248,10069
445500,14.7774,10189
450500,14.6884,10307
455500,14.6731,10428
460500,14.6744,10571
465500,14.7385,10675
470500,14.6919,10785
475500,14.8029,10876
480500,14.731,10985
485500,14.7241,11086
490500,14.6525,11210
495500,14.6486,11319
500500,14.7403,11432
505500,14.7064,11546
510500,14.6998,11660
515500,14.6979,11776
520500,14.7626,11890
525500,14.7589,12015
530500,14.6977,12145
535500,14.6991,12284
540500,14.7077,12530
545500,14.6947,13187
550500,14.8028,13429
555500,14.7599,13266
560500,14.6864,12889
565500,14.6892,13029
570500,14.7029,13140
575500,14.784,13269
580500,14.7303,13363
585500,14.7422,13497
590500,14.771,13578
595500,14.6996,13687
600500,14.71,13834
605500,14.6938,13931
610500,14.7328,14038
615500,14.7194,14198
620500,14.7206,14283
625500,14.6835,14417
630500,14.7525,14516
635500,14.696,14659
640500,14.6767,14782
645500,14.7105,14859
650500,14.7179,14940
655500,14.7204,15106
660500,14.7151,15201
665500,14.7142,15466
670500,14.7511,15378
675500,14.7278,15447
680500,14.7534,15548
685500,14.6947,15657
690500,14.7628,15789
695500,14.73,15887
700500,14.7179,16036
705500,14.6896,16122
710500,14.6854,16279
715500,14.6757,16353
720500,14.6769,16466
725500,14.7537,16572
730500,14.803,16703
735500,14.6142,16803
740500,14.6816,16930
745500,14.7368,17058
750500,14.7114,17219
755500,14.7235,17332
760500,14.7282,17433
765500,14.7085,17507
770500,14.6764,17669
775500,14.711,17782
780500,14.713,17894
785500,14.7293,17957
790500,14.6962,18063
795500,14.7111,18167
800500,14.7469,18286
805500,14.7492,18460
810500,14.7446,18509
815500,14.7276,18626
820500,14.7206,18752
825500,14.6878,18878
830500,14.6974,19113
835500,14.72,20830
840500,14.7206,19993
845500,14.7333,19393
850500,14.7006,19485
855500,14.689,19538
860500,14.6873,19659
865500,14.7591,19805
870500,14.7006,19948
875500,14.702,20062
880500,14.723,20224
885500,14.7244,20237
890500,14.6667,20405
895500,14.7932,20566
900500,14.7127,20593
905500,14.682,20740
910500,14.7615,20907
915500,14.7066,21014
920500,14.7223,21029
925500,14.7101,21898
930500,14.752,21657
935500,14.7194,21470
940500,14.7449,21524
945500,14.7438,21691
950500,14.6203,21813
955500,14.7095,21870
960500,14.7016,21974
965500,14.7178,22146
970500,14.7224,22214
975500,14.7245,22298
980500,14.7176,22464
985500,14.7791,22537
990500,14.7129,22666
995500,14.7123,22764
