Number time steps,Option price,Time to run (milli seconds)
100,14.1715,116
500,15.7766,547
900,15.3707,975
1300,15.1031,1395
1700,14.4603,1822
2100,16.1187,2263
2500,14.6598,2700
2900,14.5384,3133
3300,14.4485,3565
3700,14.9712,3997
4100,14.501,4403
4500,14.8386,4834
4900,14.9134,5259
5300,14.6511,5706
5700,14.3528,6168
6100,16.0287,6623
6500,15.4267,7053
6900,14.9185,7491
7300,14.0412,7950
7700,14.3877,8395
8100,14.6927,8818
8500,14.5254,9280
8900,14.6773,9703
9300,14.7183,10155
9700,14.8648,10604
